,Question,GT Answer,GT Topic,2008 Bleu Score,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
340,what is the current rate of interest on ppf,"['7.6 % Per Annum', ""7.6 % Per Annum ' ( compounded annually )"", '7.6 %']",Public Provident Fund (India),0.0,7.25%,Prime rate,0.0,3.25%,Wall Street Journal prime rate,66.66666666666666,8.1% Per Annum,Public Provident Fund (India),0.0,3.5%.,Treasury test discount rate,66.66666666666666
341,when is the fa cup semi-finals being played,['Wembley Stadium'],FA Cup semi-finals,0.0,17 May 2008,FA Cup 2007-08,100.0,Wembley Stadium,2014–15 FA Cup,0.0,11 May 2013,2012–13 FA Cup,100.0,Wembley Stadium,2017 FA Cup Final,100.0
342,who wrote papa got a brand new bag,['James Brown'],Papa's Got a Brand New Bag,100.0,James Brown,Papa's Got a Brand New Bag,100.0,James Brown,Papa's Got a Brand New Bag,100.0,James Brown,Papa's Got a Brand New Bag (album),100.0,James Brown,Brian's Got a Brand New Bag,0.0
343,who has the most rings in the nba right now 2017,"['Bill Russell', 'Ginóbili , Manu Manu Ginóbili ^', 'Boston Celtics center Bill Russell']",List of NBA players with most championships,100.0,Boston Celtics,Los Angeles Lakers,100.0,Bill Russell,List of NBA players with most championships,100.0,Bill Russell,List of NBA players with most championships,50.0,Russell Westbrook,List of National Basketball Association annual scoring leaders,50.0
344,when was the cleveland browns last winning game,['2016'],List of Cleveland Browns seasons,0.0,"December 31, 2006",60th Moments,0.0,"December 31, 2006",History of the Cleveland Browns,0.0,"December 31, 2006",History of the Cleveland Browns,0.0,"December 31, 2006",History of the Cleveland Browns,0.0
345,when was the last time the boston red sox pitched a no-hitter,"['May 19 , 2008']",List of Boston Red Sox no-hitters,0.0,1963,Sandy Koufax's perfect game,47.76875403825262,"May 19, 2008",List of Boston Red Sox no-hitters,47.76875403825262,"May 19, 2008",List of Boston Red Sox no-hitters,47.76875403825262,"May 19, 2008",List of Boston Red Sox no-hitters,47.76875403825262
346,when did somewhere over the rainbow come out,['1939'],Over the Rainbow,100.0,1939,Over the Rainbow (disambiguation),0.0,1938,Harold Arlen,100.0,1939,Harold Arlen,100.0,1939,Harold Arlen,100.0
347,when did hootie and the blowfish come out,"['1986', '2003', 'March 4 , 2003']",Hootie & the Blowfish,5.000000000000001,"7 March 2001, in the UK on 30 March 2001 and in other countries between May 2001 and May 2002",Blow Dry,0.0,"November 15, 1957",Dopey Dick the Pink Whale,0.0,"November 10, 1953","Toot, Whistle, Plunk and Boom",0.0,mid-1965,Country Joe and the Fish,5.000000000000001
348,who won nfl football coach of the year,['Sean McVay'],National Football League Coach of the Year Award,0.0,Paul Brown,National Football League Coach of the Year Award,0.0,Brian Kelly,Home Depot Coach of the Year Award,0.0,Brian Kelly,Home Depot Coach of the Year Award,0.0,Brian Kelly,Home Depot Coach of the Year Award,0.0
349,when did rob dyrdek's fantasy factory end,"['( 2015 - 03 - 05 )', 'March 5 , 2015']",Rob Dyrdek's Fantasy Factory,0.0,"January 23, 2007",Disco D,0.0,"September 12, 2005",Nightmare LPMud,47.76875403825262,"March 5, 2015",Rob Dyrdek's Fantasy Factory,47.76875403825262,"March 5, 2015",Rob Dyrdek's Fantasy Factory,47.76875403825262
350,who won the first celebrity big brother on channel 5,['Jack Dee'],List of Celebrity Big Brother (UK) housemates,0.0,Brian Dowling,Helen Adams,0.0,Bill Flynn,Celebrity Big Brother (South Africa),0.0,Bill Flynn,Celebrity Big Brother (South Africa),100.0,Jack Dee,Celebrity Big Brother 1 (UK),100.0
351,who was the chief guest of 2014 republic day,['Prime Minister Shinzo Abe'],Republic Day (India),0.0,another head of state,Republic Day (India),80.0,Japanese Prime Minister Shinzo Abe,Delhi Republic Day parade,80.0,Japanese Prime Minister Shinzo Abe,Delhi Republic Day parade,33.33333333333333,Prime Minister of India Narendra Modi,2014 Patna stampede,80.0
352,legends of tomorrow season 3 finale air date,"['April 9 , 2018']",List of Legends of Tomorrow episodes,0.0,"May 23, 2004",Alias episodes (season 3),0.0,"June 22, 2014",Continuum (season 3),0.0,"March 25, 2007",Battlestar Galactica (season 3),0.0,"October 10, 2017",List of Legends of Tomorrow episodes,0.0
353,where is the orinoco river located on a map,"[""02 ° 19 ′ 05 '' N 63 ° 21 ′ 42 '' W \ufeff / \ufeff 2.31806 ° N 63.36167 ° W"", 'in South America']",Orinoco,66.66666666666666,northern South America,Orinoco Crocodile,16.666666666666668,Venezuela and the remainder in Colombia,Orinoco,16.666666666666668,Venezuela and the remainder in Colombia,Orinoco,0.0,Venezuela,The Mighty Orinoco,66.66666666666666
354,kings and queens of england in the 1900s,['Edward VII'],List of British monarchs,66.66666666666666,King Edward VII,Edwardian period,100.0,Edward VII,Edward VII (disambiguation),100.0,Edward VII,Edward VII (disambiguation),100.0,Edward VII,Edward VII (disambiguation),33.33333333333334
355,who has the most followers in the world on instagram,"['Instagram', ""Instagram 's own account""]",List of most-followed Instagram accounts,0.0,iPod,Facebook,0.0,Justin Bieber,List of Billboard Social 50 number-one artists,0.0,Mark Zuckerberg,The World's Billionaires,0.0,Selena Gomez,List of most-followed Instagram accounts,0.0
356,when does the 2017 college football season end,"['December 9 , 2017']",2017 NCAA Division I FBS football season,0.0,fourth quarter,Emerald Bowl,23.88437701912631,"December 7, 2014",College Football Playoff,23.88437701912631,"January 9, 2017",2017 College Football Playoff National Championship,47.76875403825262,"December 9, 2017",2017 NCAA Division I FBS football season,47.76875403825262
357,when was the last time astros was in the world series,"['2005', '2017']",Houston Astros,100.0,2005,Curse of the AstroTurf,100.0,2005,Texas Rangers (baseball),100.0,2005,Houston Astros,100.0,2005,Houston Astros,0.0
358,who is the drummer for guns and roses,['Frank Ferrer'],List of Guns N' Roses members,0.0,Steven Adler,Steven Adler,100.0,Frank Ferrer,List of Guns N' Roses band members,0.0,Don Henley,Steven Adler,0.0,Steven Adler,Steven Adler,100.0
359,who holds the record for most everest summits,['Apa Sherpa'],List of Mount Everest records,0.0,Yuichiro Miura,Keizo Miura,33.33333333333333,Babu Chiri Sherpa,Babu Chiri Sherpa,100.0,Apa Sherpa,Chhewang Nima,100.0,Apa Sherpa,Mount Everest in 2013,100.0
360,who came out first batman or spider man,"['Superman', 'Batman']",First appearance,100.0,Superman,Batman,100.0,Superman,Action Comics,100.0,Superman,Action Comics,100.0,Superman,Action Comics,0.0
361,where is the ucla usc game being played,['UCLA'],UCLA–USC rivalry,0.0,Los Angeles,UCLA-USC rivalry,0.0,Los Angeles,Notre Dame–USC football rivalry,0.0,Los Angeles,Notre Dame–USC football rivalry,0.0,Strawberry Canyon,California Memorial Stadium,0.0
362,who caused to build qutub minar in delhi,"['Qutab Ud - Din - Aibak', 'Qutab - ud - din Aibak', 'Qutub - ud - din Aibak']",Qutb Minar,30.326532985631673,Ala ud din Khilji,Qutb complex,12.262648039048077,Qutbu l-Din Aibak,Qutbu l-Din Aibak,12.262648039048077,Qutbu l-Din Aibak,Qutb Minar,6.766764161830635,Qutb-ud-din Aibak,Qutb complex,23.559768823801036
363,who wrote trust and believe by keyshia cole,"['Guordan Banks and Jessyca Wilson of R&B duo The Righterz', 'Guordan Banks', 'Keyshia Cole']",Trust and Believe,50.0,The Pharcyde,Trust (Pharcyde Song),100.0,Guordan Banks and Jessyca Wilson,Trust and Believe,100.0,Guordan Banks and Jessyca Wilson,Trust and Believe,100.0,Guordan Banks and Jessyca Wilson,Trust and Believe,50.0
364,who holds the most home runs in mlb history,['Barry Bonds'],List of Major League Baseball career home run leaders,100.0,Barry Bonds,List of Barry Bonds 73 Home Runs,100.0,Barry Bonds,50 home run club,100.0,Barry Bonds,50 home run club,100.0,Barry Bonds,50 home run club,0.0
365,who plays the judge in drop dead diva,['Lex Medlin'],List of Drop Dead Diva characters,0.0,Diana Muldaur,Diana Muldaur,100.0,Lex Medlin,Drop Dead Diva (season 4),100.0,Lex Medlin,Drop Dead Diva (season 4),100.0,Lex Medlin,Drop Dead Diva (season 4),100.0
366,who had won the first grammy award for the best new artist,"['Chance the Rapper', 'Bobby Darin']",Grammy Award for Best New Artist,0.0,Roberta Flack,Grammy Award for Record of the Year,0.0,André Watts,Grammy Award for Best New Classical Artist,0.0,André Watts,Grammy Award for Best New Classical Artist,0.0,André Watts,Grammy Award for Best New Classical Artist,0.0
367,what channel does thursday night football come on regular tv,['NBC'],Thursday Night Football,0.0,ESPN,ESPN College Football Thursday Primetime,0.0,ESPN,Monday Night Football,0.0,ESPN,Monday Night Football,100.0,NBC,Thursday Night Football,100.0
368,who is the chief economic advisor of india,['Arvind Subramanian'],Chief Economic Adviser to the Government of India,0.0,Manmohan Singh,P. Chidambaram,100.0,Arvind Subramanian,Arvind Subramanian,100.0,Arvind Subramanian,Arvind Subramanian,100.0,Arvind Subramanian,Arvind Subramanian,100.0
369,when did slave to the rhythm come out,"['2010', 'May 8 , 2014']",Slave to the Rhythm (Michael Jackson song),0.0,1985,Slave to the Rhythm,50.0,February 2014,Slave to the Rhythm (Michael Jackson song),50.0,February 2014,Slave to the Rhythm (Michael Jackson song),100.0,2014,Chained to the Rhythm,100.0
370,when did the battle of bull run start,"['July 21 , 1861', '5 : 15 a.m.']",First Battle of Bull Run,47.76875403825262,"July 21, 1861",First Battle of Bull Run,47.76875403825262,"July 21, 1861",First Battle of Bull Run,47.76875403825262,"July 21, 1861",First Battle of Bull Run,47.76875403825262,"July 21, 1861",First Battle of Bull Run,0.0
371,who is playing halftime show super bowl 2018,['Justin Timberlake'],Super Bowl LII halftime show,100.0,Justin Timberlake,Super Bowl XXXVIII,0.0,Beyoncé,Super Bowl XLVII halftime show,0.0,Missy Elliot,Super Bowl XLIX halftime show,100.0,Justin Timberlake,Super Bowl LII,100.0
372,who won the most gold metals in olympics,"['Michael Phelps', 'American swimmer Michael Phelps']",List of multiple Olympic medalists,0.0,Mikio Oda,Kinue Hitomi,100.0,Michael Phelps,List of multiple Olympic medalists,100.0,Michael Phelps,List of multiple Olympic medalists,100.0,Michael Phelps,List of athletes with the most appearances at Olympic Games,100.0
373,where is nuclear energy used most in the world,"['France', 'United States']",Nuclear power by country,100.0,France,Nuclear power in France,66.66666666666666,The United States,Nuclear power,100.0,France,Nuclear power,100.0,United States,Nuclear power in the United States,33.33333333333334
374,who's winning the election in virginia for governor,"['Democratic nominee Ralph Northam', 'Ralph Northam']","Virginia gubernatorial election, 2017",0.0,Tim Kaine,Democratic Party of Virginia,100.0,Ralph Northam,"Virginia lieutenant gubernatorial election, 2013",100.0,Ralph Northam,"Virginia lieutenant gubernatorial election, 2017",100.0,Ralph Northam,"Virginia elections, 2017",100.0
375,when was the last time university of michigan won a national championship,['1997'],Michigan Wolverines football,0.0,1896,List of University of Michigan sporting alumni,100.0,1997,Michigan Wolverines,100.0,1997,2016 Michigan Wolverines football team,100.0,1997,Michigan Wolverines,100.0
376,what was the date of the signing of the declaration of independence,"['primarily on August 2 , 1776', 'August 2 , 1776']",Signing of the United States Declaration of Independence,23.88437701912631,"July 8, 1776",Liberty Bell,23.88437701912631,"July 4, 1776",Independence Hall,47.76875403825262,"August 2, 1776",Independence Day (United States),47.76875403825262,"August 2, 1776",Signing of the United States Declaration of Independence,23.88437701912631
377,who did university of miami play last week,['FIU'],Miami Hurricanes football,100.0,FIU,Miami-FIU brawl,100.0,FIU,FIU–Miami football brawl,100.0,FIU,FIU–Miami football brawl,100.0,FIU,FIU–Miami football brawl,0.0
378,who plays ivo on once upon a time,['Dan Payne'],List of Once Upon a Time characters,0.0,Claudia Cardinale,René Lévesque (TV series),0.0,Karl-Heinz Urban,Karl Urban,0.0,Tony Amendola,Tony Amendola,0.0,Luke George Evans,Luke Evans (actor),0.0
379,what is the longest river in the united states,['Missouri River'],List of longest rivers of the United States (by main stem),100.0,Missouri River,Missouri River,66.66666666666666,The Missouri River,Missouri River,100.0,Missouri River,Mississippi River,66.66666666666666,The Missouri River,Missouri River,33.33333333333334
380,when will notre dame played michigan state again,['2026'],Michigan State–Notre Dame football rivalry,0.0,"September 23, 2006",1966 Notre Dame vs. Michigan State football game,0.0,2002,Michigan–Notre Dame football rivalry,0.0,2002,Michigan–Notre Dame football rivalry,100.0,2026,Michigan State–Notre Dame football rivalry,100.0
381,what is the limit of resolution of the human eye in micrometers,"['~ 55 - 75 micrometers', '~ 0.116 mm']",Naked eye,30.326532985631673,15 mm,Knapp's Rule,0.0,15 mm,Knapp's rule,0.0,15 mm,Knapp's rule,0.0,15 mm,Knapp's rule,30.326532985631673
382,where is iodine found in the periodic table,"['the fourth halogen , being a member of group 17 in the periodic table , below fluorine , chlorine , and bromine', 'heaviest of the stable halogens']",Iodine,11.156508007421492,group 12,Group 12 element,16.666666666666668,nature only as a single nuclide,Isotopes of iodine,20.0,Solar System and Earth's crust,Iodine,22.313016014842983,group 17,Iodine,11.156508007421492
383,who does the vocals for feel it still,['Portugal . The Man'],Feel It Still,23.88437701912631,The Jonas Brothers,Hold On (Jonas Brothers song),0.0,Garmany,The Holdup,0.0,Kelly Rowland,Beau Vallis (singer),47.76875403825262,Portugal. The Man,Feel It Still,47.76875403825262
384,when did indoor toilets become common in america,['After World War I'],Toilet (room),50.0,after World War II,Toilets in Japan,0.0,1990s,Low-flush toilet,23.88437701912631,pre-World War II,Pittsburgh toilet,0.0,1990s,Low-flush toilet,50.0
385,who played the creature on jeepers creepers 3,['Jonathan Breck'],Jeepers Creepers 3,100.0,Jonathan Breck,Jonathan Breck,100.0,Jonathan Breck,Jonathan Breck,66.66666666666666,Jonathan Raymond Breck,Jonathan Breck,100.0,Jonathan Breck,Jeepers Creepers (2001 film),33.33333333333334
386,who was the girl in the video brenda got a baby,"[""Ethel `` Edy '' Proctor""]",Brenda's Got a Baby,0.0,Dave Hollister,Brenda's Got a Baby,0.0,Dave Hollister,Brenda's Got a Baby,0.0,Dave Hollister,Brenda's Got a Baby,0.0,Dave Hollister,Brenda's Got a Baby,0.0
387,when did they stop making the nissan xterra,"['2015', 'after the 2015 model year']",Nissan Xterra,0.0,1996,Jaguar XJS,0.0,July 2014,Jaguar XK,50.0,August 2015,Nissan Xterra,100.0,2015,Nissan Xterra,100.0
388,who sang original i want a hippopotamus for christmas,['Gayla Peevey'],I Want a Hippopotamus for Christmas,100.0,Gayla Peevey,Gayla Peevey,100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,100.0,Gayla Peevey,I Want a Hippopotamus for Christmas,0.0
389,who played young monica in love and basketball,['Kyla Pratt'],Love & Basketball,0.0,Chandler,Monica Geller,0.0,Ahmad Rashād,Condola Rashād,0.0,Keesha Sharp,Keesha Sharp,100.0,Kyla Pratt,Love &amp; Basketball,100.0
390,the world famous corn belt is in which country,"['the United States', 'United States']",Corn Belt,100.0,United States,Sweet corn,100.0,United States,Corn Belt,100.0,United States,Corn production in the United States,100.0,United States,Corn production in the United States,0.0
391,who wrote it's gonna take a lot of love,['Neil Young'],Lotta Love,0.0,Willie Dixon,Whole Lotta Love,100.0,Neil Young,Lotta Love,100.0,Neil Young,Lotta Love,100.0,Neil Young,Nicolette Larson,100.0
