,Question,GT Answer,GT Topic,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,2020 Bleu Score,2020 Predicted,2020 Topic,max - min
2606,What was the image of Luther a contrast to the life of?,"['religious orders', 'medieval religious orders', 'ascetic life of the medieval religious orders']",Martin_Luther,John Calvin and Philipp Melanchthon,{'John Calvin and Philipp Melanchthon': 'Martin Luther'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2607,When were images being used to promote the spread of Lutheranism?,['1530s and 1540s'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2608,When is Luther commemorated in the Lutheran Calendar of Saints ?,['18 February'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,66.66666666666666,18 February 1546,Martin Luther,67.66666666666666
2609,On what other calendar is Luther commemorated?,"['Episcopal (United States) Calendar of Saints.', 'Episcopal']",Martin_Luther,"January 20, 1986","{'January 20, 1986': 'Martin Luther King, Jr. Day'}",100.0,"January 20, 1986","Martin Luther King, Jr. Day",100.0,"January 20, 1986",Martin Luther King Jr. Day,-1.0,None,None,101.0
2610,When is Luther commemorated by the Church of England?,['31 October'],Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2611,On what English calendar is Luther commemorated?,"[""Church of England's Calendar of Saints"", 'Calendar of Saints']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2612,"How is Luther commemorated on the Lutheran, Episcopal, and  Church of England  calendars?","['Luther is honoured', 'honoured']",Martin_Luther,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2613,What is Southern California often abbreviated as?,['SoCal'],Southern_California,SoCal,{'SoCal': 'Southern California'},100.0,SoCal,Southern California,100.0,SoCal,Southern California,100.0,SoCal,Southern California,0.0
2614,"Despite being traditionall described as ""eight counties"", how many counties does this region actually have?","['10 counties', '10']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2615,What is a major importance of Southern California in relation to California and the United States?,"['economic center', 'major economic center']",Southern_California,Tourism,{'Tourism': 'Economy of California'},100.0,Tourism,Economy of California,-1.0,None,None,-1.0,None,None,101.0
2616,"What are the ties that best described what the ""eight counties"" are based on?","['demographics and economic ties', 'economic', 'demographics and economic']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2617,The reasons for the las two counties to be added are based on what?,['historical political divisions'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2618,What is the name of the region that is not defined by the eight or 10 county definitions?,"['Southern California Megaregion', 'the greater Southern California Megaregion']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2619,How many megaregions are there in the United States?,['11'],Southern_California,11,{'11': 'California megapolitan areas'},100.0,11,Megaregions of the United States,100.0,11,Megaregions of the United States,100.0,11,Northern California Megaregion,0.0
2620,What is the name of the state that the megaregion expands to in the east?,['Nevada'],Southern_California,Arima,{'Arima': 'East-West Corridor'},100.0,Arima,East-West Corridor,100.0,Arima,East-West Corridor,-1.0,None,None,101.0
2621,Which border does the megaregion extend over?,['Mexican'],Southern_California,Mali,{'Mali': 'Geography of Senegal'},-1.0,None,None,-1.0,None,None,100.0,Mali,Geography of Senegal,101.0
2622,What is the name of the area past the border that the megaregion extends into?,['Tijuana'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2623,Which coastline does Southern California touch?,['Pacific'],Southern_California,Santa Monica Bay,{'Santa Monica Bay': 'Santa Monica Bay'},100.0,Santa Monica Bay,Santa Monica Bay,100.0,Santa Monica Bay,Santa Monica Bay,100.0,Santa Monica Bay,Santa Monica Bay,0.0
2624,How many metropolitan areas does Southern California's population encompass?,['seven'],Southern_California,eight,{'eight': 'Southern California'},100.0,seven,Southern California,100.0,seven,Southern California,100.0,eight,Southern California,0.0
2625,How many inhabitants does the Los Angeles area contain?,"['12 million', 'over 12 million inhabitants']",Southern_California,"42,611","{'42,611': 'Central Los Angeles'}",100.0,"42,611",Central Los Angeles,0.0,"13,262,220",Los Angeles metropolitan area,0.0,"3,792,621",Los Angeles,100.0
2626,Which of the three heavily populated areas has the least number of inhabitants?,"['San Diego', 'the San Diego area']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2627,How many people does the Greater Los Angeles Area have?,"['17.5 million', 'over 17.5 million']",Southern_California,"200,000","{'200,000': 'Los Angeles Police Department'}",0.0,"18,550,288",Los Angeles metropolitan area,0.0,"17,877,006",Greater Los Angeles,0.0,13.1 million,Los Angeles,0.0
2628,What is the name of the water body that is found to the east?,"['Colorado River', 'the Colorado River']",Southern_California,East Lake,{'East Lake': 'East Lake'},100.0,East River,East River (disambiguation),100.0,East River,East River (disambiguation),100.0,East River,East River (disambiguation),0.0
2629,What is the name of the desert on the border of Arizona?,"['Colorado Desert', 'the Colorado Desert']",Southern_California,Sonoran Desert,{'Sonoran Desert': 'Geography of Arizona'},100.0,Sonoran Desert,Geography of Arizona,100.0,Sonoran Desert,Saguaro National Park,100.0,Sonoran Desert,Saguaro National Park,0.0
2630,What is the name of the desert near the border of Nevada?,"['Mojave Desert', 'the Mojave Desert']",Southern_California,Mojave Desert,{'Mojave Desert': 'Nevada'},100.0,Mojave Desert,Nevada,-1.0,None,None,-1.0,None,None,101.0
2631,What is the name of the border to the south?,"['Mexico–United States border', 'the Mexico–United States border']",Southern_California,Military Demarcation Line,{'Military Demarcation Line': 'Korean Demilitarized Zone'},25.0,South of the Border,South of the Border,100.0,South of the Border,South of the Border,100.0,South of the Border,South of the Border,75.0
2632,The cities of Los Angeles and San Diego are a part of which state?,['California'],Southern_California,California,{'California': 'San Diego'},-1.0,None,None,100.0,California,San Diego,50.0,Southern California,Greater Los Angeles,101.0
2633,What is the population of Los Angeles?,"['3,792,621']",Southern_California,3.8 million,{'3.8 million': 'Greater Los Angeles Area'},100.0,3.8 million,Greater Los Angeles Area,100.0,"3,792,621",Los Angeles,100.0,"3,792,621",Los Angeles,0.0
2634,Which city is the most populous in California?,['Los Angeles'],Southern_California,Los Angeles,{'Los Angeles': 'Los Angeles (disambiguation)'},100.0,Los Angeles,Demographics of California,100.0,Los Angeles,Los Angeles (disambiguation),100.0,Los Angeles,List of cities and towns in California,0.0
2635,What is the eighth most populous city in the nation?,['San Diego'],Southern_California,Indianapolis,{'Indianapolis': 'Indianapolis'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2636,In which cardinal direction from Los Angeles is San Diego?,['south'],Southern_California,,None,-1.0,None,None,-1.0,None,None,0.0,southeast,San Diego,1.0
2637,"Orange, San Diego, Riverside and San Bernardino make up four of the five counties. What is the name of the last county?","['Los Angeles', 'Riverside']",Southern_California,Imperial County,{'Imperial County': 'List of counties in California'},100.0,Imperial County,List of counties in California,100.0,Imperial County,List of counties in California,-1.0,None,None,101.0
2638,What country are all the counties in?,"['United States', 'the United States', 'Los Angeles']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2639,"What are Los Angeles, Orange, San Diego, San Bernardino and Riverside?","['counties', 'five most populous in the state']",Southern_California,,None,50.0,Its counties,Southern California,-1.0,None,None,0.0,"Imperial, Kern",Southern California,51.0
2640,What is the lowest ranking one of the counties could have in terms of most populous counties in the United States?,"['15', 'Riverside']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2641,What is the smallest geographical region discussed?,"['counties', 'Riverside']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2642,What is the name given to the district that is associated with the motion picture industry?,['Hollywood'],Southern_California,Hollywood,{'Hollywood': 'Hollywood (disambiguation)'},100.0,Hollywood,Hollywood (disambiguation),100.0,Hollywood,Hollywood (disambiguation),100.0,Hollywood,Hollywood,0.0
2643,Which city does the Hollywood district belong to?,['Los Angeles'],Southern_California,Los Angeles,{'Los Angeles': 'Hollywood (disambiguation)'},100.0,Los Angeles,Hollywood (disambiguation),100.0,Los Angeles,Hollywood (disambiguation),100.0,Los Angeles,Hollywood (disambiguation),0.0
2644,Which company owns ABC?,['The Walt Disney Company'],Southern_California,Disney,{'Disney': 'American Broadcasting Company'},100.0,Disney,American Broadcasting Company,100.0,Disney,American Broadcasting Company,47.76875403825262,Walt Disney Television,List of programs broadcast by American Broadcasting Company,52.23124596174738
2645,"Other than the motion picture and television industry, what other major industry is centered in Los Angeles?","['music', 'major record companies']",Southern_California,aerospace,{'aerospace': 'Greater Los Angeles Area'},100.0,aerospace,Greater Los Angeles Area,0.0,Hollywood,Media in Los Angeles,100.0,Hollywood,Media in Los Angeles,100.0
2646,"Other than Universal and Warner Brothers, what other company runs a major record company?",['Sony'],Southern_California,Sony,{'Sony': 'Warner Music Group'},100.0,Sony,Warner Music Group,33.33333333333333,Sony Music Entertainment,Warner Music Group,75.0,Sony BMG Music Entertainment,Record labels owned by Sony BMG,66.66666666666667
2647,"Other than surf, what other culture is southern California home to?",['skateboard'],Southern_California,skateboard,{'skateboard': 'Southern California'},0.0,hot rod culture,California Sound,100.0,hot rod culture,California Sound,100.0,skateboard,Southern California,100.0
2648,What is the name of the professional skateboarder that lives in southern California?,['Tony Hawk'],Southern_California,,None,-1.0,None,None,-1.0,None,None,0.0,Natas Kaupas,Natas Kaupas,1.0
2649,What famous snowbaorder lives in southern California?,['Shaun White'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2650,Southern California is second to which island in terms of famous serf breaks?,['Oahu'],Southern_California,Oahu,{'Oahu': 'Southern California'},-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2651,What is the shortened name of the annual yacht race that takes place?,['Transpac'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2652,What is the name of the desert city?,['Palm Springs'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2653,Other than the desert city why do many locals and tourists frequent southern California?,"['beaches', 'for its popular beaches']",Southern_California,,None,-1.0,None,None,0.0,infrequent rain and many sunny days,Southern California,-1.0,None,None,1.0
2654,Which region of California is Palm Springs located in?,"['southern', 'the desert']",Southern_California,desert,{'desert': 'Palm Springs (disambiguation)'},100.0,desert,Palm Springs (disambiguation),100.0,desert,Palm Springs (disambiguation),100.0,desert,Palm Springs (disambiguation),0.0
2655,"Other than for its resort feel, what is Palm Springs popular for?","['open spaces', 'nearby open spaces']",Southern_California,spring break,"{'spring break': 'Panama City Beach, Florida'}",0.0,tourists,"Palm Desert, California",0.0,"films, television shows, literature, and music",Palm Springs in popular culture,0.0,gambling,"Palm Springs, California",0.0
2656,"Geographically speaking, where is California's north - south midway point in terms of latitude?","['37° 9\' 58.23""']",Southern_California,,None,-1.0,None,None,0.0,35°48′,36th parallel north,-1.0,None,None,1.0
2657,How many miles south of San Jose is the north - south midway point located?,['11'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2658,"The term ""southern"" California usually refers to how many of the southern-most counties of the state?",['ten'],Southern_California,ten,{'ten': 'Southern California'},100.0,ten,Southern California,0.0,10,Southern California,100.0,10,Southern California,100.0
2659,"Other than Point Conception, what landmark is used in the other definition of southern California?",['Tehachapi Mountains'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2660,Point Conception is an example of a landmark among what boundary of southern California?,"['northern', 'the Tehachapi Mountains']",Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2661,Which country used to rule California?,['Mexico'],Southern_California,Queen Calafia,{'Queen Calafia': 'California'},0.0,U.S. Army,History of California,100.0,U.S. Army,History of California,100.0,U.S. Army,History of California,100.0
2662,Los Angeles is in the lower part of what?,['Alta California'],Southern_California,Alta California,{'Alta California': 'Southern California'},0.0,Greater Los Angeles,Greater Los Angeles Area,100.0,Greater Los Angeles,Greater Los Angeles,100.0,Alta California,Southern California,100.0
2663,Which Californio is located in the upper part?,['Monterey'],Southern_California,,None,-1.0,None,None,-1.0,None,None,-1.0,None,None,0.0
2664,What was the name of the legislation passed in 1850?,"['the Missouri Compromise', 'the Compromise of 1850', 'Compromise of 1850']",Southern_California,The Compromise of 1850,{'The Compromise of 1850': 'Compromise of 1850'},100.0,The Compromise of 1850,Compromise of 1850,100.0,The Compromise of 1850,Compromise of 1850,100.0,The Compromise of 1850,Compromise of 1850,0.0
2665,The legislation allowed California to be admitted to the Union as what kind of state?,"['free', 'a free state']",Southern_California,free,{'free': 'California Admission Day'},100.0,free,California Admission Day,100.0,free,Partition and secession in California,0.0,thirty-first,An Act for the Admission of the State of California,100.0
2666,"Other than land laws, what else were the Californios dissatisfied with?",['inequitable taxes'],Southern_California,,None,0.0,Discriminatory and racist treatment,Californio,-1.0,None,None,-1.0,None,None,1.0
2667,What was the name given to the regions in which the pro - slavery southerners lived?,['Cow Counties'],Southern_California,"West Virginia, Eastern Tennessee, and parts of North Carolina","{'West Virginia, Eastern Tennessee, and parts of North Carolina': 'Southern Unionist'}",0.0,The Black Belt,Black Belt (U.S. region),-1.0,None,None,88.88888888888889,"northwest Virginia, Eastern Tennessee, and parts of North Carolina",Southern Unionist,89.88888888888889
2668,How many times did southern California attempt to achieve a separate statehood?,['three'],Southern_California,three,{'three': 'California in the American Civil War'},100.0,three,California in the American Civil War,100.0,three,Territory of Colorado (California),100.0,three,Territory of Colorado (California),0.0
