,Question,GT Answer,GT Topic,2008 Predicted,2008 Topic,2014 Bleu Score,2014 Predicted,2014 Topic,2016 Bleu Score,2016 Predicted,2016 Topic,2018 Bleu Score,2018 Predicted,2018 Topic,max - min
177,what was the original purpose of the kremlin,"[""the tsar 's Moscow residence""]",Moscow Kremlin,"coronation ceremonies, service duties only, royal arsenal, collecting religious, state and public constructions from different historical periods, the tsar's Moscow residence, Applied Arts Museum, the main place for mass state events, a pagan burial ground, a simple wooden fence with guard towers, public museum","{'coronation ceremonies': 'Moscow Kremlin', 'service duties only': 'Kremlin Wall', 'royal arsenal': 'Kremlin Armoury', 'collecting religious, state and public constructions from different historical periods': 'State Kremlin Palace', ""the tsar's Moscow residence"": 'Grand Kremlin Palace', 'Applied Arts Museum': 'Kremlin Armoury', 'the main place for mass state events': 'State Kremlin Palace', 'a pagan burial ground': 'Novgorod Kremlin', 'a simple wooden fence with guard towers': 'Kremlin Wall', 'public museum': 'Kremlin Armoury'}",100.0,coronation ceremonies,Moscow Kremlin,100.0,coronation ceremonies,Moscow Kremlin,100.0,coronation ceremonies,Moscow Kremlin,0.0
178,what is the speed of the nascar pace car,['pit road speed'],Safety car,"ten tenths, 188.354 mph (303.126 km/h),, 140 miles per hour, one mile (1.6km), 0.526 miles in length, Ten Speed, 36.96 km/h, Sharpie Mini 300, slightly over 500 miles in length, 0 to 60 mph (0 to 97 km/h","{'ten tenths': 'Ten-tenths', '188.354 mph (303.126\xa0km/h),': ""Aaron's 499"", '140 miles per hour': 'Sprint car racing', 'one mile (1.6km)': 'Short track motor racing', '0.526 miles in length': 'Martinsville Speedway', 'Ten Speed': 'Ten Speed', '36.96 km/h': 'Footspeed', 'Sharpie Mini 300': 'Sharpie Mini 300', 'slightly over 500 miles in length': ""Aaron's 499"", '0 to 60 mph (0 to 97\xa0km/h': '0 to 60 mph'}",100.0,60 miles per hour,0 to 60 mph,100.0,60 miles per hour,0 to 60 mph,100.0,60 miles per hour,0 to 60 mph,0.0
179,when does boomer find out she a cylon,"[""In the episode `` Kobol 's Last Gleaming ''"", ""Kobol 's Last Gleaming"", ""`` Kobol 's Last Gleaming ''""]",Number Eight (Battlestar Galactica),"at the end of the episode, On the brink of financial collapse, Maya is only told that the child was an officer's baby; she has no knowledge of the baby's true origin, 1987 film starring Diane Keaton. The film also launched a subsequent television show starring Kate Jackson, running from 1988 to 1989.
Plot summary.
J.C. Wiatt (Keaton) is a driven Manhattan career woman (nicknamed the ""Tiger Lady"") whose fast-paced lifestyle leaves her with no time for romance or relaxation, though she derives pleasure from her work, frantic schedule and demanding job. She lives with an investment broker (Harold Ramis) whose job and lifestyle are likewise hectic. Her life is thrown into turmoil when she inherits a toddler, Elizabeth (twins Kristina and Michelle Kennedy), from a deceased relative, Michelle, It was revealed early on, When Fry goes to greet the next thawed person, Baltar discovers that the hybrid fetus's blood cells may possess fantastic healing properties which could cure Roslin's cancer. The abortion is halted. 
Meanwhile, Adama arrests Royan Jahee, the leader of Demand Peace, but the group continues its violent revolt, bombing the tylium refinery ship ""Daru Mozu"" and leaving the fleet short of fuel and vulnerable to enemy attack. 
An even more ominous threat emerges when Baltar once again connects with Gina the flesh-and-blood version of the Number Six who lives in his head. Gina has infiltrated the sympathizers' ranks in an effort to promote the Cylon agenda and destabilize the fleet. 
In a hospital bed delirium state, Roslin has flashbacks of the moments before the Cylon attack at Caprica, Hera, Stewie","{'at the end of the episode': 'Da Boom', 'On the brink of financial collapse': 'Baby Boom (film)', ""Maya is only told that the child was an officer's baby; she has no knowledge of the baby's true origin"": 'Maya (Battlestar Galactica)', '1987 film starring Diane Keaton. The film also launched a subsequent television show starring Kate Jackson, running from 1988 to 1989.\nPlot summary.\nJ.C. Wiatt (Keaton) is a driven Manhattan career woman (nicknamed the ""Tiger Lady"") whose fast-paced lifestyle leaves her with no time for romance or relaxation, though she derives pleasure from her work, frantic schedule and demanding job. She lives with an investment broker (Harold Ramis) whose job and lifestyle are likewise hectic. Her life is thrown into turmoil when she inherits a toddler, Elizabeth (twins Kristina and Michelle Kennedy), from a deceased relative': 'Baby Boom (film)', 'Michelle': 'The Cryonic Woman', 'It was revealed early on': 'Boomer (Battlestar Galactica)', 'When Fry goes to greet the next thawed person': 'The Cryonic Woman', 'Baltar discovers that the hybrid fetus\'s blood cells may possess fantastic healing properties which could cure Roslin\'s cancer. The abortion is halted. \nMeanwhile, Adama arrests Royan Jahee, the leader of Demand Peace, but the group continues its violent revolt, bombing the tylium refinery ship ""Daru Mozu"" and leaving the fleet short of fuel and vulnerable to enemy attack. \nAn even more ominous threat emerges when Baltar once again connects with Gina the flesh-and-blood version of the Number Six who lives in his head. Gina has infiltrated the sympathizers\' ranks in an effort to promote the Cylon agenda and destabilize the fleet. \nIn a hospital bed delirium state, Roslin has flashbacks of the moments before the Cylon attack at Caprica': 'Epiphanies (Battlestar Galactica)', 'Hera': 'Downloaded (Battlestar Galactica)', 'Stewie': 'Da Boom'}",100.0,1987,Baby Boom (film),100.0,Michelle,The Cryonic Woman,55.156056411537215,Michelle is now in a relationship with Pauly,The Cryonic Woman,44.843943588462785
180,who hit the first home run in the houston astrodome,['Mickey Mantle'],Astrodome,"Billy Hatcher, Craig Biggio, Bob Watson, Bob Watson, Albert Pujols, Albert Pujols, George Strait &amp, Roy Hofheinz, Selena Quintanilla-Pérez, Thomson","{'Billy Hatcher': 'History of the Houston Astros', 'Craig Biggio': 'Houston Astros', 'Bob Watson': 'Houston Astros', 'Albert Pujols': 'History of the Houston Astros', 'George Strait &amp': 'Reliant Astrodome', 'Roy Hofheinz': 'Reliant Astrodome', 'Selena Quintanilla-Pérez': 'Reliant Astrodome', 'Thomson': 'Bobby Thomson'}",100.0,Albert Pujols,History of the Houston Astros,100.0,Thomson,Shot Heard 'Round the World (baseball),100.0,Thomson,Shot Heard 'Round the World (baseball),0.0
181,what is dj's boyfriends name on full house,"['Steve Hale', ""Steven `` Steve '' Hale""]",List of Full House and Fuller House characters,"Vicky Larson, Viper, Sean ""Diddy"" Combs, DJ Khaled, Joseph Alvin Gladstone, Naomi Oates, Kevin Gwin, Jesse, Steven ""Steve"" Hale.
Steve Hale, Jesse","{'Vicky Larson': 'Danny Tanner', 'Viper': 'List of Full House characters', 'Sean ""Diddy"" Combs': 'Fonzworth Bentley', 'DJ Khaled': 'Fonzworth Bentley', 'Joseph Alvin Gladstone': 'Joey Gladstone', 'Naomi Oates': 'Vinton &quot;Vint&quot; Harper', 'Kevin Gwin': 'List of Full House characters', 'Jesse': 'Joey Gladstone', 'Steven ""Steve"" Hale.\nSteve Hale': 'List of Full House characters'}",100.0,Jesse,Full House,50.0,Steve Hale,Full House (season 6),100.0,Steve Hale,Full House (season 6),50.0
182,when do you get your white coat in pharmacy school,"['before the first year begins', ""the student 's transition from the study of preclinical to clinical health sciences""]",White coat ceremony,"transition from the study of preclinical to clinical health sciences, To the Bathroom, 1995, After obtaining the degree certificate, After graduation, green, After admission, lilac, marks one's entrance into medical school, Monday","{'transition from the study of preclinical to clinical health sciences': 'White coat ceremony', 'To the Bathroom': 'Hall pass', '1995': 'White coat ceremony', 'After obtaining the degree certificate': 'Pharmacy school', 'After graduation': 'Pharmacy school', 'green': 'Academic dress of Harvard University', 'After admission': 'Pharmacy school', 'lilac': 'Academic dress of Harvard University', ""marks one's entrance into medical school"": 'White coat', 'Monday': 'Graduation'}",100.0,green,Academic dress,100.0,green,Academic dress,100.0,green,Academic dress,0.0
183,how many seasons of the glades were made,['four'],List of The Glades episodes,"five, 13, fourth, fourth, two, three, three, fourth series in early 2008. Auditions for new gladiators took place via e-mail and closed on October 16, 2007 while auditions for challengers will take place in Brisbane, Sydney, Melbourne, Adelaide and Perth from October 20 to November 4, 2007. Once the gladiators and challengers have been chosen, filming of all the episodes for season four will take place during the time frame of January 6 2008 to February 10 2008, 2007, -9","{'five': 'The Victory Garden (TV series)', '13': 'The Victory Garden (TV series)', 'fourth': 'Gladiators Australia', 'two': 'Local Heroes', 'three': 'List of Meerkat Manor episodes', 'fourth series in early 2008. Auditions for new gladiators took place via e-mail and closed on October 16, 2007 while auditions for challengers will take place in Brisbane, Sydney, Melbourne, Adelaide and Perth from October 20 to November 4, 2007. Once the gladiators and challengers have been chosen, filming of all the episodes for season four will take place during the time frame of January 6 2008 to February 10 2008': 'Gladiators Australia', '2007': 'The Glade', '-9': 'List of Meerkat Manor episodes'}",100.0,four,The Glades (TV series),100.0,four,The Glades (TV series),100.0,four,The Glades (TV series),0.0
184,who plays the dwarf king in the hobbit,['Richard Crispin Armitage'],Richard Armitage (actor),"David Stephen Rappaport, Bernard Archard, Michael Siberry, Peter Cushing, Sir Ian Holm, Paul Norell, Christopher Frank Carandini Lee, Saul Rubinek was hurriedly brought in by producers to replace Rappaport, Lee, Kevin Stoney","{'David Stephen Rappaport': 'David Rappaport', 'Bernard Archard': 'Bernard Archard', 'Michael Siberry': 'Michael Siberry', 'Peter Cushing': 'Christopher Lee', 'Sir Ian Holm': 'Ian Holm', 'Paul Norell': 'Paul Norell', 'Christopher Frank Carandini Lee': 'Christopher Lee', 'Saul Rubinek was hurriedly brought in by producers to replace Rappaport': 'David Rappaport', 'Lee': 'Christopher Lee', 'Kevin Stoney': 'Kevin Stoney'}",66.66666666666666,Sir Ian McKellen,Christopher Lee,100.0,Ian McKellen,"Ian McKellen, roles and awards",50.0,David Tennant,David Tennant (disambiguation),50.0
185,the first permanent european settlement on future united states soil was located where,"['Puerto Rico', 'St. Augustine', 'Jamestown']",Colonial history of the United States,"St. Augustine, Florida, New Amsterdam and New Netherland, eastern Queens, San Juan colony on the Rio Grande, Flushing Meadows Park, Queens, to the East Side of Manhattan, Jamestown, Virginia, St. Augustine, Jamestown, Virginia, Maine-New Hampshire coast, Manhattan","{'St. Augustine, Florida': 'History of the United States', 'New Amsterdam and New Netherland': 'History of New York City (prehistory-1664)', 'eastern Queens': 'History of New York City', 'San Juan colony on the Rio Grande': 'History of Immigration to the United States', 'Flushing Meadows Park, Queens, to the East Side of Manhattan': 'History of New York City', 'Jamestown, Virginia': 'History of Immigration to the United States', 'St. Augustine': 'St. Augustine, Florida', 'Maine-New Hampshire coast': 'History of Immigration to the United States', 'Manhattan': 'History of New York City'}",100.0,"St. Augustine, Florida",Martín de Argüelles,100.0,"Jamestown, Virginia",European colonization of the Americas,100.0,"Jamestown, Virginia",European colonization of the Americas,0.0
186,where does trick or treat for unicef money go,"[""UNICEF 's global programing""]",Trick-or-Treat for UNICEF,"North America, United States, Canada and some other countries, United States, Canada and some other countries, UNICEF is known for its ""Trick-Or-Treat for UNICEF"" program in which children collect money for UNICEF from the houses they trick-or-treat at on Halloween night, zoos and circuses, Southern Mexico, Rancho Viejo, Port Au Prince, Haiti, The Farm Community, in the United States such programs may not receive federal funding, 11 countries, including Chile, Colombia, the Dominican Republic, Ecuador, Guatemala, Honduras, India, Mexico, the Philippines, the United States and Zambia","{'North America': ""United Nations Children's Fund"", 'United States, Canada and some other countries': ""United Nations Children's Fund"", 'United States, Canada and some other countries, UNICEF is known for its ""Trick-Or-Treat for UNICEF"" program in which children collect money for UNICEF from the houses they trick-or-treat at on Halloween night': ""United Nations Children's Fund"", 'zoos and circuses': 'International primate trade', 'Southern Mexico': 'NACER.org', 'Rancho Viejo': 'NACER.org', 'Port Au Prince, Haiti': 'Timkatec', 'The Farm Community': 'Kids To The Country', 'in the United States such programs may not receive federal funding': 'Needle-exchange programme', '11 countries, including Chile, Colombia, the Dominican Republic, Ecuador, Guatemala, Honduras, India, Mexico, the Philippines, the United States and Zambia': 'Children International'}",100.0,"United States, Canada and some other countries",UNICEF,100.0,"United States, Canada and some other countries",UNICEF,37.5,"United States, Canada, Ireland, Mexico, and Hong Kong participate in Halloween-related fund-raising events for Trick-or-Treat for UNICEF, and the program has raised over worldwide",Trick-or-Treat for UNICEF,62.5
187,what was guantanamo bay before it was a prison,['Guantanamo Bay Naval Base'],Guantanamo Bay detention camp,"La Cabaña, Camp Bulkeley, Camp X-Ray, Seavey's Island, Guantanamo Bay Naval Base, The Castillo, the Guantanamo Bay Naval Base, The Portsmouth Naval Prison, Fisherman's Point, Camp Bulkeley","{'La Cabaña': 'La Cabaña', 'Camp Bulkeley': 'Camp Bulkeley', 'Camp X-Ray': 'Guantanamo Bay detention camp', ""Seavey's Island"": 'Portsmouth Naval Prison', 'Guantanamo Bay Naval Base': 'Guantanamo Bay detention camp', 'The Castillo': 'Castillo de San Marcos', 'the Guantanamo Bay Naval Base': 'Guantanamo Bay detention camp', 'The Portsmouth Naval Prison': 'Portsmouth Naval Prison', ""Fisherman's Point"": 'Guantanamo Bay Naval Base'}",100.0,Camp X-Ray,Camp X-Ray (Guantanamo),100.0,The Guantanamo Bay Naval Base,Guantánamo Bay,100.0,Camp X-Ray,Camp X-Ray (Guantanamo),0.0
188,what is the main character's name in layer cake,"['Daniel Craig', 'XXXX', 'XXXX ,']",Layer Cake (film),"XXXX, Pie 'Oh' Pah, drug dealer, XXXX, Unc Nunkie, Sir Michael Gambon, Number Ten Ox, Ernest Bartholomew Tweeny, Cookie Monster, Cookie Monster","{'XXXX': 'Layer Cake (film)', ""Pie 'Oh' Pah"": ""Pie 'Oh' Pah"", 'drug dealer': 'Layer Cake (novel)', 'Unc Nunkie': 'Unc Nunkie', 'Sir Michael Gambon': 'Layer Cake (film)', 'Number Ten Ox': 'Number Ten Ox', 'Ernest Bartholomew Tweeny': 'Ernie Tweeny', 'Cookie Monster': 'Cookie Monster'}",100.0,XXXX,Layer Cake (film),100.0,XXXX,Layer Cake (film),100.0,XXXX,Layer Cake (film),0.0
189,when did canada sign the un declaration of indigenous rights,"['May 2016', '12 November 2010']",Declaration on the Rights of Indigenous Peoples,"February 7, 2002, August 1, 2006, July 16th, 1910, 2006, September 14, 1997, 1993, 13 September 2007, 1975, 29 June 2006, 1922","{'February 7, 2002': 'Agreement Respecting a New Relationship Between the Cree Nation and the Government of Quebec', 'August 1, 2006': 'Declaration of Montreal', 'July 16th, 1910': 'Declaration of the Lillooet Tribe', '2006': 'Calgary Declaration', 'September 14, 1997': 'Calgary Declaration', '1993': 'Declaration on the Rights of Indigenous Peoples', '13 September 2007': 'Declaration on the Rights of Indigenous Peoples', '1975': 'Agreement Respecting a New Relationship Between the Cree Nation and the Government of Quebec', '29 June 2006': 'Declaration on the Rights of Indigenous Peoples', '1922': 'Declaration of the Lillooet Tribe'}",100.0,"February 7, 2002",Agreement Respecting a New Relationship Between the Cree Nation and the Government of Quebec,100.0,"February 7, 2002",Agreement Respecting a New Relationship Between the Cree Nation and the Government of Quebec,100.0,1993,Nunavut Land Claims Agreement,0.0
